Index,Value,Probs
0,9.28472574549804,0.019529224132937673
1,14.961155379314386,0.019498733547203388
2,21.34406046104688,0.019456126685813563
3,28.198647855529135,0.019401483207920366
4,35.307365750708975,0.019334905106065184
5,10.763651975508363,0.019316545668328126
6,16.88854824997038,0.019286387133212696
7,23.659071002384955,0.019244244271918346
8,30.829498608310665,0.01919019587608781
9,38.17614983943621,0.019124342827536476
10,12.429183298962634,0.019088995499665164
11,19.004611094199692,0.01905919223406168
12,26.153400482585326,0.019017545818423822
13,33.62082773484828,0.01896413411622363
14,41.17902771342737,0.018899056820882113
15,14.290045232613627,0.018847155811221414
16,21.31168340830802,0.018817730125070358
17,28.823077178543148,0.018776611330499984
18,36.56267767136876,0.01872387630452508
19,44.30059246110439,0.018659623477544428
20,16.35151017571336,0.01859163999717887
21,23.808063240635164,0.018562613242740694
22,31.659719653989598,0.018522051906408172
23,39.64052729829756,0.01847003182295433
24,47.520927273401654,0.01840665008833133
25,18.614733596386706,0.018323090073621266
26,26.487508583544113,0.01829448260078959
27,34.650222895000006,0.01825450715918035
28,42.83517988026142,0.018203238488159038
29,50.81570985142577,0.01814077228115977
30,21.076204000974318,0.018042173996604034
31,29.338889626891792,0.018014005112406094
32,37.776630296975355,0.01797464254472744
33,46.122869636066284,0.01792415988708484
34,54.15656588813264,0.01786265136581139
35,23.727347727557273,0.0177495829019446
36,32.346031389922516,0.017721870834351155
37,41.01622910143787,0.017683146611961038
38,49.475622224061425,0.01763348263482023
39,57.511704202174315,0.01757297160118733
40,26.554328503068493,0.017446028282646128
41,35.48778439608724,0.017418790148788183
42,44.34190427791246,0.01738072819078198
43,52.86190107460085,0.0173319135704828
44,60.84686199773655,0.017272437400817083
45,29.53807967305537,0.017132239120020498
46,38.73835827431996,0.01710549089888517
47,47.72278231456312,0.017068113533941474
48,56.24756721908005,0.017020176907107592
49,64.12658369132478,0.016961770492527287
50,32.65460405428318,0.01680895898461219
51,42.067949460797145,0.016782715494264817
52,51.12519192111719,0.016746043428816162
53,59.59717505425823,0.016699011351533878
54,67.31585078505665,0.01664170704821188
