Index,Value
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,5.023734225386097
8,3.8449231966685
9,3.1606982841136007
10,2.4678156963012343
11,1.7749331084888669
12,1.0
13,0.0
14,6.321396568227202
15,5.628513980414835
16,4.314619412178303
17,3.5498662169777333
18,2.774933108488867
19,2.0
20,0.0
21,6.92617632325594
22,6.098210195924638
23,5.324799325466601
24,4.549866216977734
25,3.774933108488867
26,3.0
27,0.0
28,7.874393938326594
29,7.099732433955468
30,6.324799325466602
31,5.549866216977734
32,4.774933108488867
33,4.0
34,0.0
35,9.649542660281533
36,8.874665542444333
37,8.09973243395547
38,7.324799325466601
39,6.549866216977733
40,5.7749331084888675
41,5.0
42,0.0
43,9.874665542444335
44,9.099732433955467
45,8.324799325466604
46,7.549866216977734
47,6.774933108488867
48,6.0
49,0.0
50,10.874665542444335
51,10.099732433955468
52,9.324799325466602
53,8.549866216977735
54,7.774933108488867
55,7.0
56,0.0
57,12.6495986509332
58,11.874665542444337
59,11.099732433955467
60,10.3247993254666
61,9.549866216977733
62,8.774933108488868
63,8.0
64,0.0
65,13.649598650933202
66,12.874665542444335
67,12.099732433955468
68,11.3247993254666
69,10.549866216977733
70,9.774933108488867
71,9.0
72,0.0
73,15.42453175942207
74,13.874665542444335
75,13.099732433955467
76,12.324799325466604
77,11.549866216977735
78,10.774933108488867
79,10.0
80,0.0
81,15.649598650933203
82,14.874665542444337
83,14.099732433955467
84,13.3247993254666
85,12.549866216977735
86,11.774933108488868
87,11.0
88,0.0
89,16.649598650933203
90,15.874665542444333
91,15.09973243395547
92,14.3247993254666
93,13.549866216977733
94,12.774933108488868
95,12.0
96,0.0
97,16.874665542444337
98,16.099732433955467
99,15.324799325466604
100,14.549866216977733
101,13.774933108488867
102,13.0
103,0.0
104,17.874665542444333
105,17.09973243395547
106,16.3247993254666
107,15.549866216977737
108,14.774933108488868
109,14.0
110,0.0
111,19.649598650933203
112,18.099732433955467
113,17.324799325466604
114,16.549866216977733
115,15.774933108488868
116,15.0
117,0.0
118,19.874665542444337
119,19.09973243395547
120,18.3247993254666
121,17.549866216977737
122,16.774933108488867
123,16.0
124,0.0
125,20.874665542444333
126,20.09973243395547
127,19.3247993254666
128,18.549866216977733
129,17.774933108488867
130,17.0
131,0.0
132,21.099732433955467
133,20.324799325466604
134,19.549866216977733
135,18.774933108488867
136,18.0
137,0.0
138,22.09973243395547
139,21.3247993254666
140,20.549866216977737
141,19.774933108488867
142,19.0
143,0.0
144,23.874665542444333
145,23.09973243395547
146,22.3247993254666
147,21.549866216977733
148,20.774933108488867
149,20.0
150,0.0
151,24.87466554244434
152,24.099732433955467
153,23.324799325466607
154,22.549866216977733
155,21.774933108488867
156,21.0
157,0.0
158,25.874665542444337
159,25.09973243395547
160,24.3247993254666
161,23.549866216977737
162,22.774933108488867
163,22.0
164,0.0
165,26.09973243395547
166,25.3247993254666
167,24.549866216977733
168,23.77493310848887
169,23.0
170,0.0
171,27.099732433955467
172,26.324799325466607
173,25.549866216977733
174,24.774933108488867
175,24.0
176,0.0
177,28.87466554244434
178,28.09973243395547
179,27.3247993254666
180,26.549866216977737
181,25.774933108488867
182,25.0
183,0.0
184,29.099732433955474
185,28.3247993254666
186,27.549866216977733
187,26.77493310848887
188,26.0
189,0.0
190,30.099732433955467
191,29.324799325466607
192,28.549866216977733
193,27.774933108488867
194,27.0
195,0.0
196,30.3247993254666
197,29.549866216977737
198,28.774933108488867
199,28.0
200,0.0
201,31.3247993254666
202,30.549866216977733
203,29.77493310848887
204,29.0
205,0.0
206,33.09973243395547
207,32.32479932546659
208,31.549866216977733
209,30.774933108488867
210,30.0
211,0.0
212,34.09973243395547
213,33.3247993254666
214,32.54986621697773
215,31.774933108488867
216,31.0
217,0.0
218,35.09973243395547
219,34.3247993254666
220,33.54986621697773
221,32.77493310848887
222,32.0
223,0.0
224,35.3247993254666
225,34.54986621697773
226,33.77493310848887
227,33.0
228,0.0
229,36.3247993254666
230,35.54986621697773
231,34.77493310848887
232,34.0
233,0.0
234,38.09973243395547
235,37.3247993254666
236,36.54986621697773
237,35.77493310848887
238,35.0
239,0.0
240,38.3247993254666
241,37.54986621697773
242,36.77493310848887
243,36.0
244,0.0
245,39.3247993254666
246,38.54986621697773
247,37.77493310848887
248,37.0
249,0.0
250,39.54986621697773
251,38.77493310848887
252,38.0
253,0.0
254,40.54986621697773
255,39.77493310848887
256,39.0
257,0.0
258,42.324799325466614
259,41.54986621697773
260,40.77493310848887
261,40.0
262,0.0
263,43.3247993254666
264,42.54986621697774
265,41.77493310848887
266,41.0
267,0.0
268,44.32479932546661
269,43.54986621697773
270,42.774933108488874
271,42.0
272,0.0
273,44.54986621697773
274,43.77493310848887
275,43.0
276,0.0
277,45.54986621697774
278,44.77493310848887
279,44.0
280,0.0
281,47.32479932546661
282,46.54986621697773
283,45.774933108488874
284,45.0
285,0.0
286,47.54986621697774
287,46.77493310848887
288,46.0
289,0.0
290,48.54986621697773
291,47.77493310848887
292,47.0
293,0.0
294,48.77493310848887
295,48.0
296,0.0
297,49.77493310848887
298,49.00000000000001
299,0.0
300,51.54986621697773
301,50.774933108488874
302,50.0
303,0.0
304,52.54986621697773
305,51.77493310848887
306,51.0
307,0.0
308,53.54986621697774
309,52.77493310848887
310,52.0
311,0.0
312,53.77493310848887
313,53.0
314,0.0
315,54.774933108488874
316,54.0
317,0.0
318,56.54986621697773
319,55.77493310848887
320,55.0
321,0.0
322,56.774933108488874
323,56.0
324,0.0
325,57.77493310848887
326,57.0
327,0.0
328,58.0
329,0.0
330,59.0
331,0.0
332,60.77493310848887
333,60.0
334,0.0
335,61.77493310848887
336,61.00000000000001
337,0.0
338,62.774933108488874
339,62.0
340,0.0
341,63.0
342,0.0
343,64.0
344,0.0
345,65.77493310848888
346,65.0
347,0.0
348,66.0
349,0.0
350,67.0
351,0.0
352,70.0
353,0.0
354,71.0
355,0.0
356,72.0
357,0.0
358,75.0
359,0.0
