Index,Value
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,14.233820210865428
11,12.65583090191193
12,10.910885479625895
13,9.172255845642406
14,7.663243957392293
15,5.908048738498194
16,3.8182485024145074
17,2.089661233185674
18,0.9999999999999998
19,0.0
20,21.02941111363393
21,18.658334461571947
22,16.369585389030757
23,13.850225370728761
24,11.362392262940451
25,9.392240629164302
26,7.023627760717913
27,4.179322466371348
28,1.9999999999999996
29,0.0
30,25.12938764073934
31,22.846562678646134
32,20.191879000839318
33,17.76359379659044
34,14.828563634980409
35,12.161055658195334
36,9.671148006462445
37,6.26898369955702
38,2.999999999999999
39,0.0
40,28.99479300970279
41,26.23552454424672
42,23.31220954952567
43,20.74897400990547
44,17.82553923048598
45,14.634708789987457
46,11.760809239648124
47,8.358644932742695
48,3.999999999999999
49,0.0
50,34.42059109716056
51,29.245329991418945
52,26.22668383974407
53,23.100644465247058
54,20.343897941734603
55,16.868422453919006
56,13.794348124663557
57,10.448306165928361
58,4.999999999999999
59,0.0
60,34.57363648628469
61,31.71385335742204
62,28.704236393625578
63,25.594188642992133
64,22.371918341757905
65,18.871229822525
66,15.137124995816158
67,11.448306165928361
68,5.999999999999998
69,0.0
70,36.78444415752409
71,33.769962504362326
72,31.011914084007493
73,27.651945158141803
74,24.286730462727075
75,20.750420836596767
76,16.546353367620746
77,12.448306165928365
78,6.999999999999999
79,0.0
80,39.07243075735069
81,36.03962302540401
82,32.898302508387175
83,29.528238185823618
84,26.003936194115344
85,22.34303339585256
86,17.95558173942533
87,13.448306165928365
88,7.999999999999998
89,0.0
90,40.945160312404425
91,37.856698836020634
92,34.765405788014576
93,31.373030048242274
94,27.616865264094194
95,23.73547537336704
96,19.36481011122992
97,14.44830616592836
98,9.000000000000002
99,0.0
100,42.60108384752649
101,39.49082223087874
102,36.305230781452735
103,32.903537120765534
104,29.10213126482562
105,25.046861363004705
106,20.77403848303452
107,15.448306165928368
108,9.999999999999998
109,0.0
110,41.14205460627225
111,37.851902770165296
112,34.25040261891197
113,30.43286961817256
114,26.135736706269117
115,21.762814013400455
116,16.448306165928365
117,11.0
118,0.0
119,42.62977347895861
120,39.26283926517632
121,35.590150088189645
122,31.739473207992972
123,27.288501152564432
124,22.75158954376642
125,17.448306165928372
126,11.999999999999996
127,0.0
128,43.95972268959226
129,40.57133293527714
130,36.86016986916252
131,32.933506439745884
132,28.441265598859744
133,23.740365074132367
134,18.448306165928365
135,12.999999999999998
136,0.0
137,45.21500616973486
138,41.7984321797679
139,38.07117609544088
140,34.04064336852041
141,29.594030045155066
142,24.729140604498312
143,19.44830616592837
144,13.999999999999998
145,0.0
146,49.52635635384692
147,46.37787476165264
148,42.93043590373076
149,39.18912943448895
150,35.04723731352383
151,30.684175591864054
152,25.651464634212296
153,20.448306165928372
154,14.999999999999996
155,0.0
156,47.531767566477875
157,44.02485416206909
158,40.277800145382926
159,36.07078892842717
160,31.66865940101853
161,26.65146463421229
162,21.448306165928365
163,15.999999999999996
164,0.0
165,48.60920445069055
166,45.09005075228086
167,41.33476862600351
168,37.09557839890297
169,32.65314321017301
170,27.651464634212285
171,22.448306165928365
172,17.000000000000004
173,0.0
174,49.66656677693427
175,46.13339092500269
176,42.34796442215439
177,38.117378927844406
178,33.608454826594894
179,28.65146463421228
180,23.44830616592837
181,18.000000000000004
182,0.0
183,50.6662969509408
184,47.151412905063275
185,43.33530495126414
186,39.140142302940795
187,34.5916684323048
188,29.65146463421228
189,24.44830616592836
190,19.000000000000004
191,0.0
192,51.6004598450695
193,48.119820463487066
194,44.24651549319271
195,40.12942663048618
196,35.51099293498379
197,30.65146463421228
198,25.448306165928354
199,19.999999999999996
200,0.0
201,52.546039428665075
202,49.07556585662384
203,45.20643171188367
204,41.08372490166993
205,36.49420654069368
206,31.640240164578238
207,26.44830616592837
208,21.000000000000004
209,0.0
210,53.45081875835714
211,49.993526837511375
212,46.12729567063752
213,42.00645497494344
214,37.442703236105245
215,32.62901569494419
216,27.448306165928365
217,22.0
218,0.0
219,54.390481202088765
220,50.93954420037991
221,47.095103495236046
222,42.96536089376962
223,38.4314787664712
224,33.61779122531014
225,28.44830616592836
226,22.999999999999996
227,0.0
228,55.2663119742874
229,51.84947946090187
230,48.050106009465544
231,43.91858107305975
232,39.41596257562566
233,34.6065667556761
234,29.448306165928358
235,23.999999999999993
236,0.0
237,59.2498525350571
238,56.14101885523143
239,52.670049333772
240,48.93372980177909
241,44.76819044598147
242,40.3421192064053
243,35.52889078539006
244,30.448306165928358
245,25.0
246,0.0
247,57.00026829025274
248,53.58197532429335
249,49.85923851491222
250,45.7441674370517
251,41.32660301555978
252,36.528890785390075
253,31.44830616592837
254,25.999999999999996
255,0.0
256,57.86015875926209
257,54.461698837454925
258,50.76455841971578
259,46.68472943855124
260,42.28747655663774
261,37.52889078539008
262,32.44830616592837
263,26.999999999999993
264,0.0
265,58.73854438823806
266,55.36817109177941
267,51.697551192217794
268,47.64007625016705
269,43.276252087003705
270,38.528890785390054
271,33.44830616592837
272,27.999999999999996
273,0.0
274,59.589532110072895
275,56.26622018630308
276,52.61673711087232
277,48.60137342714989
278,44.25946569271359
279,39.528890785390054
280,34.448306165928365
281,28.999999999999996
282,0.0
283,60.38319313325574
284,57.114458903449545
285,53.46855364608069
286,49.52010962011667
287,45.17879019539259
288,40.528890785390054
289,35.448306165928365
290,29.999999999999993
291,0.0
292,61.189606125030494
293,57.940740837569095
294,54.37857353924416
295,50.45177900029156
296,46.16200380110247
297,41.51766631575602
298,36.44830616592837
299,31.0
300,0.0
301,62.03907862078504
302,58.831862677660496
303,55.298709927568865
304,51.40782835743722
305,47.14521740681236
306,42.50644184612198
307,37.448306165928365
308,31.999999999999993
309,0.0
310,62.86410637981537
311,59.69599257784311
312,56.18786342637763
313,52.342354299292644
314,48.08942238101243
315,43.495217376487915
316,38.44830616592836
317,33.0
318,0.0
319,63.716338666063876
320,60.58256746890507
321,57.11458870441664
322,53.298431040263274
323,49.07390619016693
324,44.483992906853885
325,39.44830616592836
326,34.00000000000001
327,0.0
328,67.21875115722541
329,64.44163961509567
330,61.37772122750583
331,57.959282660578054
332,54.16323247869588
333,50.00006282094655
334,45.40631693656784
335,40.44830616592836
336,35.00000000000001
337,0.0
338,65.20936834955488
339,62.19613276964683
340,58.80047876673284
341,55.10210410727733
342,50.96093636202452
343,46.40631693656784
344,41.44830616592838
345,36.00000000000001
346,0.0
347,66.03766732882868
348,63.07356783997346
349,59.730553518078416
350,56.05452269040257
351,51.94971189239047
352,47.40631693656785
353,42.44830616592838
354,36.99999999999999
355,0.0
356,66.87430599682257
357,63.945181766735715
358,60.6528346678938
359,57.00411209567228
360,52.93848742275642
361,48.40631693656784
362,43.44830616592836
363,38.00000000000001
