Index,Value,Probs
0,0.0,0.005048
1,93.03999999999998,0.014201
2,92.28,0.03344
3,91.52,0.065909
4,90.76000000000002,0.10874
5,90.0,0.150177
6,89.24000000000001,0.17362
7,88.47999999999999,0.168025
8,87.72000000000001,0.136123
9,86.96000000000001,0.092313
10,86.19999999999999,0.052404
